,"X,Y,Z,Sequence"
1586,"-0.36758583784103394,5.753939151763916,7.841759204864502,1586"
1587,"-0.36758583784103394,5.753939151763916,7.841759204864502,1587"
1588,"-0.36758583784103394,5.753939151763916,7.841759204864502,1588"
1589,"-0.36758583784103394,5.753939151763916,7.841759204864502,1589"
1590,"-0.36758583784103394,5.753939151763916,7.841759204864502,1590"
1591,"-0.36758583784103394,5.753939151763916,7.841759204864502,1591"
1592,"-0.36758583784103394,5.753939151763916,7.841759204864502,1592"
1593,"-0.36758583784103394,5.753939151763916,7.841759204864502,1593"
1594,"-0.36758583784103394,5.753939151763916,7.841759204864502,1594"
1595,"-0.36758583784103394,5.753939151763916,7.841759204864502,1595"
1596,"-0.36758583784103394,5.753939151763916,7.841759204864502,1596"
1597,"-0.36758583784103394,5.753939151763916,7.841759204864502,1597"
1598,"-0.36758583784103394,5.753939151763916,7.841759204864502,1598"
1599,"-0.36758583784103394,5.753939151763916,7.841759204864502,1599"
1600,"-0.36758583784103394,5.753939151763916,7.841759204864502,1600"
1601,"-0.36758583784103394,5.753939151763916,7.841759204864502,1601"
1602,"-0.36758583784103394,5.753939151763916,7.841759204864502,1602"
1603,"-0.36758583784103394,5.753939151763916,7.841759204864502,1603"
1604,"-0.36758583784103394,5.753939151763916,7.841759204864502,1604"
1605,"-0.36758583784103394,5.753939151763916,7.841759204864502,1605"
1606,"-0.36758583784103394,5.753939151763916,7.841759204864502,1606"
1607,"-0.36758583784103394,5.753939151763916,7.841759204864502,1607"
1608,"-0.36758583784103394,5.753939151763916,7.841759204864502,1608"
1609,"-0.36758583784103394,5.753939151763916,7.841759204864502,1609"
1610,"-0.36758583784103394,5.753939151763916,7.841759204864502,1610"
1611,"-0.36758583784103394,5.753939151763916,7.841759204864502,1611"
1612,"-0.36758583784103394,5.753939151763916,7.841759204864502,1612"
1613,"-0.36758583784103394,5.753939151763916,7.841759204864502,1613"
1614,"-0.36758583784103394,5.753939151763916,7.841759204864502,1614"
1615,"-0.36758583784103394,5.753939151763916,7.841759204864502,1615"
1616,"-0.36758583784103394,5.753939151763916,7.841759204864502,1616"
1617,"-0.36758583784103394,5.753939151763916,7.841759204864502,1617"
1618,"-0.36758583784103394,5.753939151763916,7.841759204864502,1618"
1619,"-0.36758583784103394,5.753939151763916,7.841759204864502,1619"
1620,"-0.36758583784103394,5.753939151763916,7.841759204864502,1620"
1621,"-0.36758583784103394,5.753939151763916,7.841759204864502,1621"
1622,"-0.36758583784103394,5.753939151763916,7.841759204864502,1622"
1623,"-0.36758583784103394,5.753939151763916,7.841759204864502,1623"
1624,"-0.36758583784103394,5.753939151763916,7.841759204864502,1624"
1625,"-0.36758583784103394,5.753939151763916,7.841759204864502,1625"
1626,"-0.36758583784103394,5.753939151763916,7.841759204864502,1626"
1627,"-0.36758583784103394,5.753939151763916,7.841759204864502,1627"
1628,"-0.36758583784103394,5.753939151763916,7.841759204864502,1628"
1629,"-0.36758583784103394,5.753939151763916,7.841759204864502,1629"
1630,"-0.36758583784103394,5.753939151763916,7.841759204864502,1630"
1631,"-0.36758583784103394,5.753939151763916,7.841759204864502,1631"
1632,"-0.36758583784103394,5.753939151763916,7.841759204864502,1632"
1633,"-0.36758583784103394,5.753939151763916,7.841759204864502,1633"
1634,"-0.36758583784103394,5.753939151763916,7.841759204864502,1634"
1635,"-0.36758583784103394,5.753939151763916,7.841759204864502,1635"
1636,"-0.36758583784103394,5.753939151763916,7.841759204864502,1636"
1637,"-0.36758583784103394,5.753939151763916,7.841759204864502,1637"
1638,"-0.36758583784103394,5.753939151763916,7.841759204864502,1638"
1639,"-0.36758583784103394,5.753939151763916,7.841759204864502,1639"
1640,"-0.36758583784103394,5.753939151763916,7.841759204864502,1640"
1641,"-0.36758583784103394,5.753939151763916,7.841759204864502,1641"
1642,"-0.36758583784103394,5.753939151763916,7.841759204864502,1642"
1643,"-0.36758583784103394,5.753939151763916,7.841759204864502,1643"
1644,"-0.36758583784103394,5.753939151763916,7.841759204864502,1644"
1645,"-0.36758583784103394,5.753939151763916,7.841759204864502,1645"
1646,"-0.36758583784103394,5.753939151763916,7.841759204864502,1646"
1647,"-0.36758583784103394,5.753939151763916,7.841759204864502,1647"
1648,"-0.36758583784103394,5.753939151763916,7.841759204864502,1648"
1649,"-0.36758583784103394,5.753939151763916,7.841759204864502,1649"
1650,"-0.36758583784103394,5.753939151763916,7.841759204864502,1650"
1651,"-0.36758583784103394,5.753939151763916,7.841759204864502,1651"
1652,"-0.36758583784103394,5.753939151763916,7.841759204864502,1652"
1653,"-0.36758583784103394,5.753939151763916,7.841759204864502,1653"
1654,"-0.36758583784103394,5.753939151763916,7.841759204864502,1654"
1655,"-0.36758583784103394,5.753939151763916,7.841759204864502,1655"
1656,"-0.36758583784103394,5.753939151763916,7.841759204864502,1656"
1657,"-0.36758583784103394,5.753939151763916,7.841759204864502,1657"
1658,"-0.36758583784103394,5.753939151763916,7.841759204864502,1658"
1659,"-0.36758583784103394,5.753939151763916,7.841759204864502,1659"
1660,"-0.36758583784103394,5.753939151763916,7.841759204864502,1660"
1661,"-0.36758583784103394,5.753939151763916,7.841759204864502,1661"
1662,"-0.36758583784103394,5.753939151763916,7.841759204864502,1662"
1663,"-0.36758583784103394,5.753939151763916,7.841759204864502,1663"
1664,"-0.36758583784103394,5.753939151763916,7.841759204864502,1664"
1665,"-0.36758583784103394,5.753939151763916,7.841759204864502,1665"
1666,"-0.36758583784103394,5.753939151763916,7.841759204864502,1666"
1667,"-0.36758583784103394,5.753939151763916,7.841759204864502,1667"
1668,"-0.36758583784103394,5.753939151763916,7.841759204864502,1668"
1669,"-0.36758583784103394,5.753939151763916,7.841759204864502,1669"
1670,"-0.36758583784103394,5.753939151763916,7.841759204864502,1670"
1671,"-0.36758583784103394,5.753939151763916,7.841759204864502,1671"
1672,"-0.36758583784103394,5.753939151763916,7.841759204864502,1672"
1673,"-0.36758583784103394,5.753939151763916,7.841759204864502,1673"
1674,"-0.36758583784103394,5.753939151763916,7.841759204864502,1674"
1675,"-0.36758583784103394,5.753939151763916,7.841759204864502,1675"
1676,"-0.36758583784103394,5.753939151763916,7.841759204864502,1676"
1677,"-0.36758583784103394,5.753939151763916,7.841759204864502,1677"
1678,"-0.36758583784103394,5.753939151763916,7.841759204864502,1678"
1679,"-0.36758583784103394,5.753939151763916,7.841759204864502,1679"
1680,"-0.36758583784103394,5.753939151763916,7.841759204864502,1680"
1681,"-0.36758583784103394,5.753939151763916,7.841759204864502,1681"
1682,"-0.36758583784103394,5.753939151763916,7.841759204864502,1682"
1683,"-0.36758583784103394,5.753939151763916,7.841759204864502,1683"
1684,"-0.36758583784103394,5.753939151763916,7.841759204864502,1684"
1685,"-0.36758583784103394,5.753939151763916,7.841759204864502,1685"
1686,"-0.36758583784103394,5.753939151763916,7.841759204864502,1686"
1687,"-0.36758583784103394,5.753939151763916,7.841759204864502,1687"
1688,"-0.36758583784103394,5.753939151763916,7.841759204864502,1688"
1689,"-0.36758583784103394,5.753939151763916,7.841759204864502,1689"
1690,"-0.36758583784103394,5.753939151763916,7.841759204864502,1690"
1691,"-0.36758583784103394,5.753939151763916,7.841759204864502,1691"
1692,"-0.36758583784103394,5.753939151763916,7.841759204864502,1692"
1693,"-0.36758583784103394,5.753939151763916,7.841759204864502,1693"
1694,"-0.36758583784103394,5.753939151763916,7.841759204864502,1694"
1695,"-0.36758583784103394,5.753939151763916,7.841759204864502,1695"
1696,"-0.36758583784103394,5.753939151763916,7.841759204864502,1696"
1697,"-0.36758583784103394,5.753939151763916,7.841759204864502,1697"
1698,"-0.36758583784103394,5.753939151763916,7.841759204864502,1698"
1699,"-0.36758583784103394,5.753939151763916,7.841759204864502,1699"
1700,"-0.36758583784103394,5.753939151763916,7.841759204864502,1700"
1701,"-0.36758583784103394,5.753939151763916,7.841759204864502,1701"
1702,"-0.36758583784103394,5.753939151763916,7.841759204864502,1702"
1703,"-0.36758583784103394,5.753939151763916,7.841759204864502,1703"
1704,"-0.36758583784103394,5.753939151763916,7.841759204864502,1704"
1705,"-0.36758583784103394,5.753939151763916,7.841759204864502,1705"
1706,"-0.36758583784103394,5.753939151763916,7.841759204864502,1706"
1707,"-0.36758583784103394,5.753939151763916,7.841759204864502,1707"
1708,"-0.36758583784103394,5.753939151763916,7.841759204864502,1708"
1709,"-0.36758583784103394,5.753939151763916,7.841759204864502,1709"
1710,"-0.36758583784103394,5.753939151763916,7.841759204864502,1710"
1711,"-0.36758583784103394,5.753939151763916,7.841759204864502,1711"
1712,"-0.36758583784103394,5.753939151763916,7.841759204864502,1712"
1713,"-0.36758583784103394,5.753939151763916,7.841759204864502,1713"
1714,"-0.36758583784103394,5.753939151763916,7.841759204864502,1714"
1715,"-0.36758583784103394,5.753939151763916,7.841759204864502,1715"
1716,"-0.36758583784103394,5.753939151763916,7.841759204864502,1716"
1717,"-0.36758583784103394,5.753939151763916,7.841759204864502,1717"
1718,"-0.36758583784103394,5.753939151763916,7.841759204864502,1718"
1719,"-0.36758583784103394,5.753939151763916,7.841759204864502,1719"
1720,"-0.36758583784103394,5.753939151763916,7.841759204864502,1720"
1721,"-0.36758583784103394,5.753939151763916,7.841759204864502,1721"
1722,"-0.36758583784103394,5.753939151763916,7.841759204864502,1722"
1723,"-0.36758583784103394,5.753939151763916,7.841759204864502,1723"
1724,"-0.36758583784103394,5.753939151763916,7.841759204864502,1724"
1725,"-0.36758583784103394,5.753939151763916,7.841759204864502,1725"
1726,"-0.36758583784103394,5.753939151763916,7.841759204864502,1726"
1727,"-0.36758583784103394,5.753939151763916,7.841759204864502,1727"
1728,"-0.36758583784103394,5.753939151763916,7.841759204864502,1728"
1729,"-0.36758583784103394,5.753939151763916,7.841759204864502,1729"
1730,"-0.36758583784103394,5.753939151763916,7.841759204864502,1730"
1731,"-0.36758583784103394,5.753939151763916,7.841759204864502,1731"
1732,"-0.36758583784103394,5.753939151763916,7.841759204864502,1732"
1733,"-0.36758583784103394,5.753939151763916,7.841759204864502,1733"
1734,"-0.36758583784103394,5.753939151763916,7.841759204864502,1734"
1735,"-0.36758583784103394,5.753939151763916,7.841759204864502,1735"
1736,"-0.36758583784103394,5.753939151763916,7.841759204864502,1736"
1737,"-0.36758583784103394,5.753939151763916,7.841759204864502,1737"
1738,"-0.36758583784103394,5.753939151763916,7.841759204864502,1738"
1739,"-0.36758583784103394,5.753939151763916,7.841759204864502,1739"
1740,"-0.36758583784103394,5.753939151763916,7.841759204864502,1740"
1741,"-0.36758583784103394,5.753939151763916,7.841759204864502,1741"
1742,"-0.36758583784103394,5.753939151763916,7.841759204864502,1742"
1743,"-0.36758583784103394,5.753939151763916,7.841759204864502,1743"
1744,"-0.36758583784103394,5.753939151763916,7.841759204864502,1744"
1745,"-0.36758583784103394,5.753939151763916,7.841759204864502,1745"
1746,"-0.36758583784103394,5.753939151763916,7.841759204864502,1746"
1747,"-0.36758583784103394,5.753939151763916,7.841759204864502,1747"
1748,"-0.36758583784103394,5.753939151763916,7.841759204864502,1748"
1749,"-0.36758583784103394,5.753939151763916,7.841759204864502,1749"
1750,"-0.36758583784103394,5.753939151763916,7.841759204864502,1750"
1751,"-0.36758583784103394,5.753939151763916,7.841759204864502,1751"
1752,"-0.36758583784103394,5.753939151763916,7.841759204864502,1752"
1753,"-0.36758583784103394,5.753939151763916,7.841759204864502,1753"
1754,"-0.36758583784103394,5.753939151763916,7.841759204864502,1754"
1755,"-0.36758583784103394,5.753939151763916,7.841759204864502,1755"
1756,"-0.36758583784103394,5.753939151763916,7.841759204864502,1756"
1757,"-0.36758583784103394,5.753939151763916,7.841759204864502,1757"
1758,"-0.36758583784103394,5.753939151763916,7.841759204864502,1758"
1759,"-0.36758583784103394,5.753939151763916,7.841759204864502,1759"
1760,"-0.36758583784103394,5.753939151763916,7.841759204864502,1760"
1761,"-0.36758583784103394,5.753939151763916,7.841759204864502,1761"
1762,"-0.36758583784103394,5.753939151763916,7.841759204864502,1762"
1763,"-0.36758583784103394,5.753939151763916,7.841759204864502,1763"
1764,"-0.36758583784103394,5.753939151763916,7.841759204864502,1764"
1765,"-0.36758583784103394,5.753939151763916,7.841759204864502,1765"
1766,"-0.36758583784103394,5.753939151763916,7.841759204864502,1766"
1767,"-0.36758583784103394,5.753939151763916,7.841759204864502,1767"
1768,"-0.36758583784103394,5.753939151763916,7.841759204864502,1768"
1769,"-0.36758583784103394,5.753939151763916,7.841759204864502,1769"
1770,"-0.36758583784103394,5.753939151763916,7.841759204864502,1770"
1771,"-0.36758583784103394,5.753939151763916,7.841759204864502,1771"
1772,"-0.36758583784103394,5.753939151763916,7.841759204864502,1772"
1773,"-0.36758583784103394,5.753939151763916,7.841759204864502,1773"
1774,"-0.36758583784103394,5.753939151763916,7.841759204864502,1774"
1775,"-0.36758583784103394,5.753939151763916,7.841759204864502,1775"
1776,"-0.36758583784103394,5.753939151763916,7.841759204864502,1776"
1777,"-0.36758583784103394,5.753939151763916,7.841759204864502,1777"
1778,"-0.36758583784103394,5.753939151763916,7.841759204864502,1778"
1779,"-0.36758583784103394,5.753939151763916,7.841759204864502,1779"
1780,"-0.36758583784103394,5.753939151763916,7.841759204864502,1780"
1781,"-0.36758583784103394,5.753939151763916,7.841759204864502,1781"
1782,"-0.36758583784103394,5.753939151763916,7.841759204864502,1782"
1783,"-0.36758583784103394,5.753939151763916,7.841759204864502,1783"
1784,"-0.36758583784103394,5.753939151763916,7.841759204864502,1784"
1785,"-0.36758583784103394,5.753939151763916,7.841759204864502,1785"
1786,"-0.36758583784103394,5.753939151763916,7.841759204864502,1786"
1787,"-0.36758583784103394,5.753939151763916,7.841759204864502,1787"
1788,"-0.36758583784103394,5.753939151763916,7.841759204864502,1788"
1789,"-0.36758583784103394,5.753939151763916,7.841759204864502,1789"
1790,"-0.36758583784103394,5.753939151763916,7.841759204864502,1790"
1791,"-0.36758583784103394,5.753939151763916,7.841759204864502,1791"
1792,"-0.36758583784103394,5.753939151763916,7.841759204864502,1792"
1793,"-0.36758583784103394,5.753939151763916,7.841759204864502,1793"
1794,"-0.36758583784103394,5.753939151763916,7.841759204864502,1794"
1795,"-0.36758583784103394,5.753939151763916,7.841759204864502,1795"
1796,"-0.36758583784103394,5.753939151763916,7.841759204864502,1796"
1797,"-0.36758583784103394,5.753939151763916,7.841759204864502,1797"
1798,"-0.36758583784103394,5.753939151763916,7.841759204864502,1798"
1799,"-0.36758583784103394,5.753939151763916,7.841759204864502,1799"
1800,"-0.36758583784103394,5.753939151763916,7.841759204864502,1800"
1801,"-0.36758583784103394,5.753939151763916,7.841759204864502,1801"
1802,"-0.36758583784103394,5.753939151763916,7.841759204864502,1802"
1803,"-0.36758583784103394,5.753939151763916,7.841759204864502,1803"
1804,"-0.36758583784103394,5.753939151763916,7.841759204864502,1804"
1805,"-0.36758583784103394,5.753939151763916,7.841759204864502,1805"
1806,"-0.36758583784103394,5.753939151763916,7.841759204864502,1806"
1807,"-0.36758583784103394,5.753939151763916,7.841759204864502,1807"
1808,"-0.36758583784103394,5.753939151763916,7.841759204864502,1808"
1809,"-0.36758583784103394,5.753939151763916,7.841759204864502,1809"
1810,"-0.36758583784103394,5.753939151763916,7.841759204864502,1810"
1811,"-0.36758583784103394,5.753939151763916,7.841759204864502,1811"
1812,"-0.36758583784103394,5.753939151763916,7.841759204864502,1812"
1813,"-0.36758583784103394,5.753939151763916,7.841759204864502,1813"
1814,"-0.36758583784103394,5.753939151763916,7.841759204864502,1814"
1815,"-0.36758583784103394,5.753939151763916,7.841759204864502,1815"
1816,"-0.36758583784103394,5.753939151763916,7.841759204864502,1816"
1817,"-0.36758583784103394,5.753939151763916,7.841759204864502,1817"
1818,"-0.36758583784103394,5.753939151763916,7.841759204864502,1818"
1819,"-0.36758583784103394,5.753939151763916,7.841759204864502,1819"
1820,"-0.36758583784103394,5.753939151763916,7.841759204864502,1820"
1821,"-0.36758583784103394,5.753939151763916,7.841759204864502,1821"
1822,"-0.36758583784103394,5.753939151763916,7.841759204864502,1822"
1823,"-0.36758583784103394,5.753939151763916,7.841759204864502,1823"
1824,"-0.36758583784103394,5.753939151763916,7.841759204864502,1824"
1825,"-0.36758583784103394,5.753939151763916,7.841759204864502,1825"
1826,"-0.36758583784103394,5.753939151763916,7.841759204864502,1826"
1827,"-0.36758583784103394,5.753939151763916,7.841759204864502,1827"
1828,"-0.36758583784103394,5.753939151763916,7.841759204864502,1828"
1829,"-0.36758583784103394,5.753939151763916,7.841759204864502,1829"
1830,"-0.36758583784103394,5.753939151763916,7.841759204864502,1830"
1831,"-0.36758583784103394,5.753939151763916,7.841759204864502,1831"
1832,"-0.36758583784103394,5.753939151763916,7.841759204864502,1832"
1833,"-0.36758583784103394,5.753939151763916,7.841759204864502,1833"
1834,"-0.36758583784103394,5.753939151763916,7.841759204864502,1834"
1835,"-0.36758583784103394,5.753939151763916,7.841759204864502,1835"
1836,"-0.36758583784103394,5.753939151763916,7.841759204864502,1836"
1837,"-0.36758583784103394,5.753939151763916,7.841759204864502,1837"
1838,"-0.36758583784103394,5.753939151763916,7.841759204864502,1838"
1839,"-0.36758583784103394,5.753939151763916,7.841759204864502,1839"
1840,"-0.36758583784103394,5.753939151763916,7.841759204864502,1840"
1841,"-0.36758583784103394,5.753939151763916,7.841759204864502,1841"
1842,"-0.36758583784103394,5.753939151763916,7.841759204864502,1842"
1843,"-0.36758583784103394,5.753939151763916,7.841759204864502,1843"
1844,"-0.36758583784103394,5.753939151763916,7.841759204864502,1844"
1845,"-0.36758583784103394,5.753939151763916,7.841759204864502,1845"
1846,"-0.36758583784103394,5.753939151763916,7.841759204864502,1846"
1847,"-0.36758583784103394,5.753939151763916,7.841759204864502,1847"
1848,"-0.36758583784103394,5.753939151763916,7.841759204864502,1848"
1849,"-0.36758583784103394,5.753939151763916,7.841759204864502,1849"
1850,"-0.36758583784103394,5.753939151763916,7.841759204864502,1850"
1851,"-0.36758583784103394,5.753939151763916,7.841759204864502,1851"
1852,"-0.36758583784103394,5.753939151763916,7.841759204864502,1852"
1853,"-0.36758583784103394,5.753939151763916,7.841759204864502,1853"
1854,"-0.36758583784103394,5.753939151763916,7.841759204864502,1854"
1855,"-0.36758583784103394,5.753939151763916,7.841759204864502,1855"
1856,"-0.36758583784103394,5.753939151763916,7.841759204864502,1856"
1857,"-0.36758583784103394,5.753939151763916,7.841759204864502,1857"
1858,"-0.36758583784103394,5.753939151763916,7.841759204864502,1858"
1859,"-0.36758583784103394,5.753939151763916,7.841759204864502,1859"
1860,"-0.36758583784103394,5.753939151763916,7.841759204864502,1860"
1861,"-0.36758583784103394,5.753939151763916,7.841759204864502,1861"
1862,"-0.36758583784103394,5.753939151763916,7.841759204864502,1862"
1863,"-0.36758583784103394,5.753939151763916,7.841759204864502,1863"
1864,"-0.36758583784103394,5.753939151763916,7.841759204864502,1864"
1865,"-0.36758583784103394,5.753939151763916,7.841759204864502,1865"
1866,"-0.36758583784103394,5.753939151763916,7.841759204864502,1866"
1867,"-0.36758583784103394,5.753939151763916,7.841759204864502,1867"
1868,"-0.36758583784103394,5.753939151763916,7.841759204864502,1868"
1869,"-0.36758583784103394,5.753939151763916,7.841759204864502,1869"
1870,"-0.36758583784103394,5.753939151763916,7.841759204864502,1870"
1871,"-0.36758583784103394,5.753939151763916,7.841759204864502,1871"
1872,"-0.36758583784103394,5.753939151763916,7.841759204864502,1872"
1873,"-0.36758583784103394,5.753939151763916,7.841759204864502,1873"
1874,"-0.36758583784103394,5.753939151763916,7.841759204864502,1874"
1875,"-0.36758583784103394,5.753939151763916,7.841759204864502,1875"
1876,"-0.36758583784103394,5.753939151763916,7.841759204864502,1876"
1877,"-0.36758583784103394,5.753939151763916,7.841759204864502,1877"
1878,"-0.36758583784103394,5.753939151763916,7.841759204864502,1878"
1879,"-0.36758583784103394,5.753939151763916,7.841759204864502,1879"
1880,"-0.36758583784103394,5.753939151763916,7.841759204864502,1880"
1881,"-0.36758583784103394,5.753939151763916,7.841759204864502,1881"
1882,"-0.36758583784103394,5.753939151763916,7.841759204864502,1882"
1883,"-0.36758583784103394,5.753939151763916,7.841759204864502,1883"
1884,"-0.36758583784103394,5.753939151763916,7.841759204864502,1884"
1885,"-0.36758583784103394,5.753939151763916,7.841759204864502,1885"
1886,"-0.36758583784103394,5.753939151763916,7.841759204864502,1886"
1887,"-0.36758583784103394,5.753939151763916,7.841759204864502,1887"
1888,"-0.36758583784103394,5.753939151763916,7.841759204864502,1888"
1889,"-0.36758583784103394,5.753939151763916,7.841759204864502,1889"
1890,"-0.36758583784103394,5.753939151763916,7.841759204864502,1890"
1891,"-0.36758583784103394,5.753939151763916,7.841759204864502,1891"
1892,"-0.36758583784103394,5.753939151763916,7.841759204864502,1892"
1893,"-0.36758583784103394,5.753939151763916,7.841759204864502,1893"
1894,"-0.36758583784103394,5.753939151763916,7.841759204864502,1894"
1895,"-0.36758583784103394,5.753939151763916,7.841759204864502,1895"
1896,"-0.36758583784103394,5.753939151763916,7.841759204864502,1896"
1897,"-0.36758583784103394,5.753939151763916,7.841759204864502,1897"
1898,"-0.36758583784103394,5.753939151763916,7.841759204864502,1898"
1899,"-0.36758583784103394,5.753939151763916,7.841759204864502,1899"
1900,"-0.36758583784103394,5.753939151763916,7.841759204864502,1900"
1901,"-0.36758583784103394,5.753939151763916,7.841759204864502,1901"
1902,"-0.36758583784103394,5.753939151763916,7.841759204864502,1902"
1903,"-0.36758583784103394,5.753939151763916,7.841759204864502,1903"
1904,"-0.36758583784103394,5.753939151763916,7.841759204864502,1904"
1905,"-0.36758583784103394,5.753939151763916,7.841759204864502,1905"
1906,"-0.36758583784103394,5.753939151763916,7.841759204864502,1906"
1907,"-0.36758583784103394,5.753939151763916,7.841759204864502,1907"
1908,"-0.36758583784103394,5.753939151763916,7.841759204864502,1908"
1909,"-0.36758583784103394,5.753939151763916,7.841759204864502,1909"
1910,"-0.36758583784103394,5.753939151763916,7.841759204864502,1910"
1911,"-0.36758583784103394,5.753939151763916,7.841759204864502,1911"
1912,"-0.36758583784103394,5.753939151763916,7.841759204864502,1912"
1913,"-0.36758583784103394,5.753939151763916,7.841759204864502,1913"
1914,"-0.36758583784103394,5.753939151763916,7.841759204864502,1914"
1915,"-0.36758583784103394,5.753939151763916,7.841759204864502,1915"
1916,"-0.36758583784103394,5.753939151763916,7.841759204864502,1916"
1917,"-0.36758583784103394,5.753939151763916,7.841759204864502,1917"
1918,"-0.36758583784103394,5.753939151763916,7.841759204864502,1918"
1919,"-0.36758583784103394,5.753939151763916,7.841759204864502,1919"
1920,"-0.36758583784103394,5.753939151763916,7.841759204864502,1920"
1921,"-0.36758583784103394,5.753939151763916,7.841759204864502,1921"
1922,"-0.36758583784103394,5.753939151763916,7.841759204864502,1922"
1923,"-0.36758583784103394,5.753939151763916,7.841759204864502,1923"
1924,"-0.36758583784103394,5.753939151763916,7.841759204864502,1924"
1925,"-0.36758583784103394,5.753939151763916,7.841759204864502,1925"
1926,"-0.36758583784103394,5.753939151763916,7.841759204864502,1926"
1927,"-0.36758583784103394,5.753939151763916,7.841759204864502,1927"
1928,"-0.36758583784103394,5.753939151763916,7.841759204864502,1928"
1929,"-0.36758583784103394,5.753939151763916,7.841759204864502,1929"
1930,"-0.36758583784103394,5.753939151763916,7.841759204864502,1930"
1931,"-0.36758583784103394,5.753939151763916,7.841759204864502,1931"
1932,"-0.36758583784103394,5.753939151763916,7.841759204864502,1932"
1933,"-0.36758583784103394,5.753939151763916,7.841759204864502,1933"
1934,"-0.36758583784103394,5.753939151763916,7.841759204864502,1934"
1935,"-0.36758583784103394,5.753939151763916,7.841759204864502,1935"
1936,"-0.36758583784103394,5.753939151763916,7.841759204864502,1936"
1937,"-0.36758583784103394,5.753939151763916,7.841759204864502,1937"
1938,"-0.36758583784103394,5.753939151763916,7.841759204864502,1938"
1939,"-0.36758583784103394,5.753939151763916,7.841759204864502,1939"
1940,"-0.36758583784103394,5.753939151763916,7.841759204864502,1940"
1941,"-0.36758583784103394,5.753939151763916,7.841759204864502,1941"
1942,"-0.36758583784103394,5.753939151763916,7.841759204864502,1942"
1943,"-0.36758583784103394,5.753939151763916,7.841759204864502,1943"
1944,"-0.36758583784103394,5.753939151763916,7.841759204864502,1944"
1945,"-0.36758583784103394,5.753939151763916,7.841759204864502,1945"
1946,"-0.36758583784103394,5.753939151763916,7.841759204864502,1946"
1947,"-0.36758583784103394,5.753939151763916,7.841759204864502,1947"
1948,"-0.36758583784103394,5.753939151763916,7.841759204864502,1948"
1949,"-0.36758583784103394,5.753939151763916,7.841759204864502,1949"
1950,"-0.36758583784103394,5.753939151763916,7.841759204864502,1950"
1951,"-0.36758583784103394,5.753939151763916,7.841759204864502,1951"
1952,"-0.36758583784103394,5.753939151763916,7.841759204864502,1952"
1953,"-0.36758583784103394,5.753939151763916,7.841759204864502,1953"
1954,"-0.36758583784103394,5.753939151763916,7.841759204864502,1954"
1955,"-0.36758583784103394,5.753939151763916,7.841759204864502,1955"
1956,"-0.36758583784103394,5.753939151763916,7.841759204864502,1956"
1957,"-0.36758583784103394,5.753939151763916,7.841759204864502,1957"
1958,"-0.36758583784103394,5.753939151763916,7.841759204864502,1958"
1959,"-0.36758583784103394,5.753939151763916,7.841759204864502,1959"
1960,"-0.36758583784103394,5.753939151763916,7.841759204864502,1960"
1961,"-0.36758583784103394,5.753939151763916,7.841759204864502,1961"
1962,"-0.36758583784103394,5.753939151763916,7.841759204864502,1962"
1963,"-0.36758583784103394,5.753939151763916,7.841759204864502,1963"
1964,"-0.36758583784103394,5.753939151763916,7.841759204864502,1964"
1965,"-0.36758583784103394,5.753939151763916,7.841759204864502,1965"
1966,"-0.36758583784103394,5.753939151763916,7.841759204864502,1966"
1967,"-0.36758583784103394,5.753939151763916,7.841759204864502,1967"
1968,"-0.36758583784103394,5.753939151763916,7.841759204864502,1968"
1969,"-0.36758583784103394,5.753939151763916,7.841759204864502,1969"
1970,"-0.36758583784103394,5.753939151763916,7.841759204864502,1970"
1971,"-0.36758583784103394,5.753939151763916,7.841759204864502,1971"
1972,"-0.36758583784103394,5.753939151763916,7.841759204864502,1972"
1973,"-0.36758583784103394,5.753939151763916,7.841759204864502,1973"
1974,"-0.36758583784103394,5.753939151763916,7.841759204864502,1974"
1975,"-0.36758583784103394,5.753939151763916,7.841759204864502,1975"
1976,"-0.36758583784103394,5.753939151763916,7.841759204864502,1976"
1977,"-0.36758583784103394,5.753939151763916,7.841759204864502,1977"
1978,"-0.36758583784103394,5.753939151763916,7.841759204864502,1978"
1979,"-0.36758583784103394,5.753939151763916,7.841759204864502,1979"
1980,"-0.36758583784103394,5.753939151763916,7.841759204864502,1980"
1981,"-0.36758583784103394,5.753939151763916,7.841759204864502,1981"
1982,"-0.36758583784103394,5.753939151763916,7.841759204864502,1982"
1983,"-0.36758583784103394,5.753939151763916,7.841759204864502,1983"
1984,"-0.36758583784103394,5.753939151763916,7.841759204864502,1984"
1985,"-0.36758583784103394,5.753939151763916,7.841759204864502,1985"
1986,"-0.36758583784103394,5.753939151763916,7.841759204864502,1986"
1987,"-0.36758583784103394,5.753939151763916,7.841759204864502,1987"
1988,"-0.36758583784103394,5.753939151763916,7.841759204864502,1988"
1989,"-0.36758583784103394,5.753939151763916,7.841759204864502,1989"
1990,"-0.36758583784103394,5.753939151763916,7.841759204864502,1990"
1991,"-0.36758583784103394,5.753939151763916,7.841759204864502,1991"
1992,"-0.36758583784103394,5.753939151763916,7.841759204864502,1992"
1993,"-0.36758583784103394,5.753939151763916,7.841759204864502,1993"
1994,"-0.36758583784103394,5.753939151763916,7.841759204864502,1994"
1995,"-0.36758583784103394,5.753939151763916,7.841759204864502,1995"
1996,"-0.36758583784103394,5.753939151763916,7.841759204864502,1996"
